subtype,markers,ttest_pvals,ttest_pvals_adj,wilcox_pvals,wilcox_pvals_adj
epithelioid,CD20,0.68,0.77,0.16,0.26
epithelioid,CD4,0.70,0.77,0.46,0.59
epithelioid,CD8,0.05,0.11,0.10,0.21
epithelioid,FOXP3,0.32,0.51,0.59,0.59
epithelioid,CD68,0.77,0.77,0.55,0.59
epithelioid,CD11c,0.04,0.11,0.11,0.21
epithelioid,CD56,0.02,0.11,0.01,0.08
epithelioid,CK,0.06,0.11,0.08,0.21
biphasic,CD20,0.14,0.44,0.11,0.30
biphasic,CD4,0.40,0.44,0.21,0.34
biphasic,CD8,0.28,0.44,0.28,0.36
biphasic,FOXP3,0.16,0.44,0.16,0.31
biphasic,CD68,0.03,0.24,0.11,0.30
biphasic,CD11c,0.44,0.44,0.32,0.36
biphasic,CD56,0.35,0.44,0.40,0.40
biphasic,CK,0.23,0.44,0.09,0.30
