"markers","pvalues","pvalues_adj"
"CD4",0.331189307767801,0.883171487380801
"CD8",0.00155165262778251,0.0124132210222601
"CK",0.030423941888386,0.121695767553544
"CD20",0.921373432336713,0.921373432336713
"FOXP3",0.631415630438783,0.885534314257181
"CD68",0.664150735692886,0.885534314257181
"CD11c",0.910215586557738,0.921373432336713
"CD56",0.551430708988062,0.885534314257181
