"markers","pvalues"
"CD4","8.16e-01"
"CD8","2.36e-02"
"CK","1.04e-02"
"CD20","7.90e-01"
"FOXP3","5.77e-01"
"CD68","1.42e-01"
"CD11c","9.31e-01"
"CD56","1.84e-01"
