Annotation2,Tissue Category,Tissue Area (mm2),NF2+,CD11C+,CD56+,LAG3+,BAP1+,MTAP+,Total Cells
"Meso_TMA4_Scan1_Core[1,15,B]_[11175,55098]",All,0.36,297,39,195,3,506,995,4168
"Meso_TMA4_Scan1_Core[1,15,C]_[12503,55031]",All,0.36,609,100,492,78,850,536,5277
"Meso_TMA4_Scan1_Core[1,15,D]_[13790,54864]",All,0.36,1181,61,275,14,664,1075,5591
"Meso_TMA4_Scan1_Core[1,15,E]_[15124,54721]",All,0.36,678,122,222,39,664,1073,5430
"Meso_TMA4_Scan1_Core[1,15,F]_[16387,54578]",All,0.36,406,6,67,3,186,1412,4327
"Meso_TMA4_Scan1_Core[1,15,G]_[17697,54507]",All,0.36,936,136,158,8,406,1512,4480
"Meso_TMA4_Scan1_Core[1,15,H]_[19008,54483]",All,0.36,1128,72,172,39,497,1181,4485
"Meso_TMA4_Scan1_Core[1,15,I]_[20342,54340]",All,0.36,1012,106,94,33,303,1201,4316
"Meso_TMA4_Scan1_Core[1,15,J]_[21700,54150]",All,0.36,2368,186,356,189,689,1050,5361
"Meso_TMA4_Scan1_Core[1,15,K]_[23050,53911]",All,0.36,3727,103,333,67,1434,1025,5466
"Meso_TMA4_Scan1_Core[1,16,A]_[9961,56567]",All,0.36,11177,200,3,1006,709,434,14031
"Meso_TMA4_Scan1_Core[1,16,B]_[11195,56381]",All,0.36,5238,1059,119,147,684,595,6906
"Meso_TMA4_Scan1_Core[1,17,A]_[10098,57787]",All,0.36,10546,383,31,539,256,934,13061
"Meso_TMA4_Scan1_Core[1,17,B]_[11432,57656]",All,0.36,13575,1092,145,1100,622,814,15159
"Meso_TMA4_Scan1_Core[1,2,A]_[8357,38948]",All,0.36,584,261,203,3,584,1112,3921
"Meso_TMA4_Scan1_Core[1,2,B]_[9692,38782]",All,0.36,1131,1184,75,61,183,2646,6205
"Meso_TMA4_Scan1_Core[1,2,C]_[11044,38652]",All,0.36,31,92,25,14,222,684,1359
"Meso_TMA4_Scan1_Core[1,2,D]_[12456,38496]",All,0.36,122,172,42,97,253,2031,6664
"Meso_TMA4_Scan1_Core[1,2,E]_[13837,38472]",All,0.36,736,1337,28,25,114,1667,6789
"Meso_TMA4_Scan1_Core[1,2,F]_[15124,38305]",All,0.36,331,525,94,44,158,1917,5213
"Meso_TMA4_Scan1_Core[1,2,G]_[16434,38210]",All,0.36,61,236,242,172,381,1476,5052
"Meso_TMA4_Scan1_Core[1,2,H]_[17721,38114]",All,0.36,142,378,36,6,311,536,2195
"Meso_TMA4_Scan1_Core[1,2,I]_[19174,37995]",All,0.36,247,270,272,0,189,1237,3118
"Meso_TMA4_Scan1_Core[1,2,J]_[20498,37733]",All,0.36,281,94,50,0,408,870,1753
"Meso_TMA4_Scan1_Core[1,2,K]_[21819,37852]",All,0.36,1503,139,261,31,622,1767,5222
"Meso_TMA4_Scan1_Core[1,3,A]_[8476,40235]",All,0.36,547,8,303,19,698,1515,5252
"Meso_TMA4_Scan1_Core[1,3,G]_[16887,39139]",All,0.36,0,736,492,0,2390,842,3991
"Meso_TMA4_Scan1_Core[1,3,H]_[17864,39449]",All,0.36,367,328,6,0,456,970,4088
"Meso_TMA4_Scan1_Core[1,3,I]_[19198,39330]",All,0.36,592,1117,295,0,489,1881,3724
"Meso_TMA4_Scan1_Core[1,3,J]_[20509,39187]",All,0.36,53,572,97,0,339,606,2465
"Meso_TMA4_Scan1_Core[1,3,K]_[21914,39139]",All,0.36,403,3,278,175,672,853,6036
"Meso_TMA4_Scan1_Core[1,4,A]_[8572,41545]",All,0.36,317,2390,133,0,500,1037,4794
"Meso_TMA4_Scan1_Core[1,4,B]_[9882,41355]",All,0.36,331,622,356,19,859,2045,4010
"Meso_TMA4_Scan1_Core[1,4,C]_[11288,41164]",All,0.36,50,620,698,3,1192,1765,3076
"Meso_TMA4_Scan1_Core[1,4,D]_[12622,41021]",All,0.36,114,773,261,0,856,1187,2515
"Meso_TMA4_Scan1_Core[1,4,E]_[14028,40974]",All,0.36,1134,117,125,22,447,939,3604
"Meso_TMA4_Scan1_Core[1,4,F]_[15321,40854]",All,0.36,370,206,56,22,625,2020,3015
"Meso_TMA4_Scan1_Core[1,4,G]_[16649,40735]",All,0.36,731,206,17,14,439,1270,3049
"Meso_TMA4_Scan1_Core[1,4,I]_[19426,40499]",All,0.36,867,308,128,0,233,1142,1620
"Meso_TMA4_Scan1_Core[1,4,J]_[20628,40306]",All,0.36,1973,1904,445,100,823,2690,8034
"Meso_TMA4_Scan1_Core[1,4,K]_[22010,40306]",All,0.36,353,33,217,122,714,956,4888
"Meso_TMA4_Scan1_Core[1,5,A]_[8643,42761]",All,0.36,308,81,156,8,511,1301,4655
"Meso_TMA4_Scan1_Core[1,5,B]_[9978,42618]",All,0.36,336,267,33,3,211,636,2812
"Meso_TMA4_Scan1_Core[1,5,C]_[11336,42498]",All,0.36,545,856,31,3,206,736,3360
"Meso_TMA4_Scan1_Core[1,5,D]_[12741,42308]",All,0.36,267,392,86,14,236,439,4880
"Meso_TMA4_Scan1_Core[1,5,E]_[14100,42213]",All,0.36,1184,197,192,161,839,1515,5763
"Meso_TMA4_Scan1_Core[1,5,F]_[15434,42093]",All,0.36,195,22,19,8,222,742,967
"Meso_TMA4_Scan1_Core[1,5,H]_[18007,41784]",All,0.36,122,17,3,19,497,1473,2390
"Meso_TMA4_Scan1_Core[1,5,I]_[19389,41665]",All,0.36,167,736,197,6,347,1403,1820
"Meso_TMA4_Scan1_Core[1,5,J]_[20795,41593]",All,0.36,653,670,497,17,811,2151,5575
"Meso_TMA4_Scan1_Core[1,5,K]_[22081,41569]",All,0.36,734,145,133,42,478,1414,5405
"Meso_TMA4_Scan1_Core[1,6,A]_[8786,44023]",All,0.36,247,345,142,0,472,1078,4641
"Meso_TMA4_Scan1_Core[1,6,C]_[11526,43737]",All,0.36,1734,809,22,0,1103,2281,4418
"Meso_TMA4_Scan1_Core[1,6,D]_[12884,43571]",All,0.36,1692,61,281,17,825,1873,3938
"Meso_TMA4_Scan1_Core[1,6,E]_[14219,43452]",All,0.36,570,489,145,22,548,789,1865
"Meso_TMA4_Scan1_Core[1,6,G]_[16840,43118]",All,0.36,11,250,95,3,195,475,1526
"Meso_TMA4_Scan1_Core[1,6,H]_[18198,43046]",All,0.36,8,281,44,0,164,356,1612
"Meso_TMA4_Scan1_Core[1,6,I]_[19484,42999]",All,0.36,11,53,6,0,81,119,917
"Meso_TMA4_Scan1_Core[1,6,J]_[20879,42805]",All,0.36,61,131,64,0,56,164,1025
"Meso_TMA4_Scan1_Core[1,6,K]_[22177,42784]",All,0.36,1045,83,297,17,586,1559,4883
"Meso_TMA4_Scan1_Core[1,7,A]_[8858,45286]",All,0.36,536,56,175,3,572,1367,4296
"Meso_TMA4_Scan1_Core[1,7,B]_[10180,45005]",All,0.36,1284,6,308,28,667,1681,2320
"Meso_TMA4_Scan1_Core[1,7,C]_[11526,45000]",All,0.36,3048,247,803,11,881,2746,4074
"Meso_TMA4_Scan1_Core[1,7,E]_[14290,44643]",All,0.36,1195,153,17,89,136,1945,7748
"Meso_TMA4_Scan1_Core[1,7,F]_[15577,44476]",All,0.36,1623,275,220,64,411,3418,6086
"Meso_TMA4_Scan1_Core[1,7,G]_[16887,44357]",All,0.36,1167,192,459,86,584,2307,7503
"Meso_TMA4_Scan1_Core[1,7,K]_[22272,44023]",All,0.36,572,56,186,36,484,1326,4330
"Meso_TMA4_Scan1_Core[1,8,A]_[9001,46525]",All,0.36,956,39,228,3,681,1087,4955
"Meso_TMA4_Scan1_Core[1,8,B]_[10322,46335]",All,0.36,81,22,36,0,250,342,925
"Meso_TMA4_Scan1_Core[1,8,C]_[11693,46239]",All,0.36,3,22,14,3,89,303,1189
"Meso_TMA4_Scan1_Core[1,8,E]_[14362,45906]",All,0.36,3432,75,47,31,698,1895,4530
"Meso_TMA4_Scan1_Core[1,8,F]_[15648,45715]",All,0.36,2737,270,17,31,489,1723,4966
"Meso_TMA4_Scan1_Core[1,8,G]_[17006,45620]",All,0.36,3012,44,8,17,784,1459,4029
"Meso_TMA4_Scan1_Core[1,8,H]_[18269,45477]",All,0.36,759,208,208,181,625,2709,6769
"Meso_TMA4_Scan1_Core[1,8,I]_[19849,45419]",All,0.36,2162,503,136,142,584,3490,8687
"Meso_TMA4_Scan1_Core[1,8,K]_[22367,45191]",All,0.36,545,170,119,17,472,1106,4557
"Meso_TMA4_Scan1_Core[1,9,A]_[9120,47716]",All,0.36,998,83,281,0,556,1601,5697
"Meso_TMA4_Scan1_Core[1,9,B]_[10437,47628]",All,0.36,7967,1434,92,414,4596,3638,10713
"Meso_TMA4_Scan1_Core[1,9,C]_[11795,47563]",All,0.36,3779,197,200,197,1184,2287,5302
"Meso_TMA4_Scan1_Core[1,9,D]_[13123,47216]",All,0.36,6631,973,75,94,903,3454,11227
"Meso_TMA4_Scan1_Core[1,9,E]_[14427,47247]",All,0.36,831,231,56,72,734,828,1865
"Meso_TMA4_Scan1_Core[1,9,F]_[15744,47002]",All,0.36,14,175,83,19,1137,781,5236
"Meso_TMA4_Scan1_Core[1,9,G]_[17102,46835]",All,0.36,64,397,175,61,639,1062,5700
"Meso_TMA4_Scan1_Core[1,9,H]_[18424,46741]",All,0.36,2345,1367,239,158,3082,1259,9707
"Meso_TMA4_Scan1_Core[1,9,I]_[19831,46603]",All,0.36,2498,2268,203,53,1231,1842,7598
"Meso_TMA4_Scan1_Core[1,9,J]_[21104,46502]",All,0.36,2973,3763,561,247,3168,2190,11604
"Meso_TMA4_Scan1_Core[1,9,K]_[22439,46382]",All,0.36,439,50,131,8,356,1203,4305
"NMVB_TMA1_Scan1_Core[1,1,A]_[9774,47328]",All,0.36,242,145,22,0,192,1187,1790
"NMVB_TMA1_Scan1_Core[1,1,B]_[11013,47185]",All,0.36,1092,58,6,3,86,1867,3576
"NMVB_TMA1_Scan1_Core[1,1,C]_[12118,47066]",All,0.36,470,11,8,0,67,1562,2723
"NMVB_TMA1_Scan1_Core[1,1,E]_[14010,47098]",All,0.36,356,19,0,0,150,995,1584
"NMVB_TMA1_Scan1_Core[1,1,G]_[16001,46938]",All,0.36,1073,0,6,0,78,1881,3471
"NMVB_TMA1_Scan1_Core[1,1,H]_[17041,46971]",All,0.36,1317,22,3,3,36,2420,3915
"NMVB_TMA1_Scan1_Core[1,1,J]_[19090,46865]",All,0.36,434,14,0,0,92,1684,3035
"NMVB_TMA1_Scan1_Core[1,1,K]_[20116,46756]",All,0.36,639,3,6,0,22,2115,4335
"NMVB_TMA1_Scan1_Core[1,3,B]_[11084,49234]",All,0.36,1536,3,42,6,1000,1320,2417
"NMVB_TMA1_Scan1_Core[1,3,C]_[12276,49187]",All,0.36,4916,83,28,698,2932,3646,7267
"NMVB_TMA1_Scan1_Core[1,3,D]_[13229,49187]",All,0.36,6769,220,0,86,4660,3446,7222
"NMVB_TMA1_Scan1_Core[1,3,E]_[14230,49139]",All,0.36,872,42,86,6,258,983,1325
"NMVB_TMA1_Scan1_Core[1,3,G]_[16183,48996]",All,0.36,1028,1312,806,75,675,3087,4758
"NMVB_TMA1_Scan1_Core[1,3,H]_[17232,49044]",All,0.36,1976,42,964,6,1089,2823,3746
"NMVB_TMA1_Scan1_Core[1,3,I]_[18280,48853]",All,0.36,3474,11,11,628,2445,3474,6528
"NMVB_TMA1_Scan1_Core[1,3,K]_[20274,48927]",All,0.36,2065,42,44,28,392,1745,2315
"NMVB_TMA1_Scan1_Core[1,4,A]_[10084,50402]",All,0.36,550,28,103,25,1662,2401,3860
"NMVB_TMA1_Scan1_Core[1,4,B]_[11188,50347]",All,0.36,2170,17,6,122,420,1754,4188
"NMVB_TMA1_Scan1_Core[1,4,C]_[12228,50330]",All,0.36,478,22,181,39,2732,1620,13175
"NMVB_TMA1_Scan1_Core[1,4,E]_[14277,50259]",All,0.36,2357,47,497,1009,1359,1887,3474
"NMVB_TMA1_Scan1_Core[1,4,G]_[16279,50068]",All,0.36,1904,6,17,75,1328,1984,4185
"NMVB_TMA1_Scan1_Core[1,4,J]_[19395,50046]",All,0.36,14,8,3,0,122,311,839
"NMVB_TMA1_Scan1_Core[1,4,K]_[20400,49949]",All,0.36,1659,164,47,367,898,1162,3746
"NMVB_TMA1_Scan1_Core[1,5,A]_[10116,51563]",All,0.36,6336,17,14,936,884,778,7033
"NMVB_TMA1_Scan1_Core[1,5,C]_[12252,51379]",All,0.36,3443,81,28,14,1334,2332,4646
"NMVB_TMA1_Scan1_Core[1,5,D]_[13324,51260]",All,0.36,1109,142,478,0,1162,1987,3096
"NMVB_TMA1_Scan1_Core[1,5,H]_[17375,51093]",All,0.36,3702,44,25,25,153,4099,7261
"NMVB_TMA1_Scan1_Core[1,5,I]_[18473,51021]",All,0.36,367,8,8,3,420,1273,2101
"NMVB_TMA1_Scan1_Core[1,6,A]_[10251,52570]",All,0.36,650,67,403,197,689,2382,7100
"NMVB_TMA1_Scan1_Core[1,6,B]_[11275,52427]",All,0.36,989,61,58,69,1445,2946,9190
"NMVB_TMA1_Scan1_Core[1,6,C]_[12371,52475]",All,0.36,5736,47,97,286,261,2804,8289
"NMVB_TMA1_Scan1_Core[1,6,G]_[16423,52167]",All,0.36,606,17,131,39,547,1186,1603
"NMVB_TMA1_Scan1_Core[1,6,H]_[17448,52173]",All,0.36,3449,992,111,33,725,2701,6380
"NMVB_TMA1_Scan1_Core[1,6,I]_[18528,51966]",All,0.36,3476,1370,236,314,1048,3387,6336
"NMVB_TMA1_Scan1_Core[1,7,B]_[11370,53605]",All,0.36,83,208,475,189,7125,2315,8506
"NMVB_TMA1_Scan1_Core[1,7,D]_[13433,53446]",All,0.36,1025,3,417,78,314,2943,4388
"NMVB_TMA1_Scan1_Core[1,7,E]_[14563,53380]",All,0.36,3357,0,214,19,222,2054,4221
"NMVB_TMA1_Scan1_Core[1,7,H]_[17541,53263]",All,0.36,78,981,203,203,5680,2004,7561
"NMVB_TMA1_Scan1_Core[1,7,J]_[19590,53142]",All,0.36,553,69,42,14,550,1556,2223
"NMVB_TMA1_Scan1_Core[1,7,K]_[20686,52975]",All,0.36,2593,106,195,17,667,3157,5780
"NMVB_TMA1_Scan1_Core[2,1,A]_[10410,55636]",All,0.36,3,133,53,3,3048,2915,6094
"NMVB_TMA1_Scan1_Core[2,1,E]_[16627,55227]",All,0.36,6,514,195,6,2751,3385,6583
"NMVB_TMA1_Scan1_Core[2,2,A]_[10457,56732]",All,0.36,1617,36,28,28,1184,1640,3093
"NMVB_TMA1_Scan1_Core[2,2,B]_[11553,57613]",All,0.36,8228,161,22,395,1979,5588,8740
"NMVB_TMA1_Scan1_Core[2,2,C]_[12575,56594]",All,0.36,1045,47,550,3,965,914,1173
"NMVB_TMA1_Scan1_Core[2,2,D]_[14602,56440]",All,0.36,1904,14,11,14,92,1598,2982
"NMVB_TMA1_Scan1_Core[2,2,E]_[16700,57312]",All,0.36,8,934,86,0,3354,2732,5430
"NMVB_TMA1_Scan1_Core[3,1,A]_[18629,55125]",All,0.36,2065,31,75,233,514,1101,2382
"NMVB_TMA1_Scan1_Core[3,1,B]_[19770,55142]",All,0.36,2495,33,628,136,564,1562,3457
"NMVB_TMA1_Scan1_Core[3,2,A]_[18725,56197]",All,0.36,1120,14,92,3,1023,862,1565
"NMVB_TMA1_Scan1_Core[3,2,B]_[19740,56190]",All,0.36,7509,3,56,331,2143,3565,8592
"NMVB_TMA1_Scan1_Core[3,3,C]_[20941,57048]",All,0.36,1187,75,22,17,3457,2301,5733
"NMVB_TMA1_Scan1_Core[4,1,B]_[11341,59833]",All,0.36,1337,17,211,11,925,1981,3340
"NMVB_TMA1_Scan1_Core[4,1,C]_[12384,59708]",All,0.36,1990,33,189,484,1956,3232,6250
"NMVB_TMA1_Scan1_Core[4,1,E]_[14463,59571]",All,0.36,1773,25,117,6,683,1595,2223
"NMVB_TMA1_Scan1_Core[4,2,A]_[10311,60938]",All,0.36,3668,19,36,42,1417,1292,4880
"NMVB_TMA1_Scan1_Core[4,2,B]_[11384,60938]",All,0.36,2751,25,0,33,195,2598,7036
"NMVB_TMA1_Scan1_Core[4,2,D]_[13433,60914]",All,0.36,100,6,50,6,353,261,714
"NMVB_TMA1_Scan1_Core[4,2,E]_[14481,60661]",All,0.36,2398,72,189,570,3343,1264,5777
"NMVB_TMA1_Scan1_Core[4,3,B]_[11479,61963]",All,0.36,2373,53,28,220,803,1703,5191
"NMVB_TMA1_Scan1_Core[4,3,C]_[12432,61853]",All,0.36,450,114,219,8,806,589,1039
"NMVB_TMA1_Scan1_Core[4,3,D]_[13480,61939]",All,0.36,678,158,484,42,1359,364,3101
"NMVB_TMA1_Scan1_Core[4,3,E]_[14529,61772]",All,0.36,1476,75,873,122,1976,728,2612
"NMVB_TMA1_Scan1_Core[4,4,A]_[10502,63035]",All,0.36,1020,86,42,3,1295,970,3199
"NMVB_TMA1_Scan1_Core[4,4,B]_[11538,63049]",All,0.36,534,1181,22,111,236,1584,6244
"NMVB_TMA1_Scan1_Core[4,4,C]_[12551,63011]",All,0.36,1420,11,25,178,1698,3126,8014
"NMVB_TMA1_Scan1_Core[4,4,E]_[14552,62916]",All,0.36,86,3,1223,203,3496,2020,5316
"NMVB_TMA1_Scan1_Core[4,5,B]_[11462,64236]",All,0.36,94,870,75,22,5527,1073,7609
"NMVB_TMA1_Scan1_Core[5,1,A]_[16413,59541]",All,0.36,217,761,83,8,308,697,839
"NMVB_TMA1_Scan1_Core[5,1,B]_[17425,59433]",All,0.36,481,8,3,0,1212,967,1859
"NMVB_TMA1_Scan1_Core[5,1,C]_[18428,59421]",All,0.36,714,28,214,528,2740,2554,5308
"NMVB_TMA1_Scan1_Core[5,1,D]_[19524,59278]",All,0.36,6942,275,28,17,4844,3157,8059
"NMVB_TMA1_Scan1_Core[5,1,E]_[20596,59326]",All,0.36,1265,208,17,0,1548,1095,2087
"NMVB_TMA1_Scan1_Core[5,2,A]_[16427,60612]",All,0.36,1609,17,125,17,3221,1473,4216
"NMVB_TMA1_Scan1_Core[5,2,B]_[17475,60493]",All,0.36,2265,320,3,58,2445,2229,4527
"NMVB_TMA1_Scan1_Core[5,2,D]_[19572,60350]",All,0.36,39,11,0,0,489,72,734
"NMVB_TMA1_Scan1_Core[5,3,B]_[17475,61613]",All,0.36,400,64,14,6,1701,1559,3332
"NMVB_TMA1_Scan1_Core[5,3,D]_[19572,61375]",All,0.36,820,370,133,33,1245,433,1784
"NMVB_TMA1_Scan1_Core[5,4,A]_[16474,62733]",All,0.36,564,14,186,128,2779,2332,5483
"NMVB_TMA1_Scan1_Core[5,4,C]_[18595,62685]",All,0.36,1673,8,47,247,2626,4557,8067
"NMVB_TMA1_Scan1_Core[5,4,D]_[19548,62304]",All,0.36,803,528,119,6,1237,1615,2943
"NMVB_TMA1_Scan1_Core[5,5,B]_[17618,63615]",All,0.36,484,547,178,17,3829,1281,5113
"NMVB_TMA1_Scan1_Core[5,5,C]_[18619,63710]",All,0.36,122,36,33,8,1537,975,12788
"NMVB_TMA1_Scan1_Core[5,5,D]_[19620,63543]",All,0.36,145,58,44,22,745,773,2643
"NMVB_TMA1_Scan1_Core[5,5,E]_[20716,63615]",All,0.36,2709,995,200,0,1809,2946,5533
"NMVB_TMA1_Scan1_Core[5,6,A]_[16627,64806]",All,0.36,39,0,0,0,400,131,472
"NMVB_TMA1_Scan1_Core[5,6,B]_[17642,64711]",All,0.36,1951,8,17,8,2732,1453,4944
"NMVB_TMA1_Scan1_Core[5,6,C]_[18643,64711]",All,0.36,609,39,19,0,1173,1131,1995
"NMVB_TMA1_Scan1_Core[5,6,D]_[19667,64639]",All,0.36,3424,753,33,3,1540,1840,6931
"NMVB2_Meso_Scan1_Core[1,1,A]_[9283,40774]",All,0.64,486,86,137,2,678,648,781
"NMVB2_Meso_Scan1_Core[1,1,B]_[10236,40702]",All,0.64,30,12,64,17,2650,3008,5274
"NMVB2_Meso_Scan1_Core[1,1,C]_[11181,40644]",All,0.64,1143,11,17,11,3299,3713,7039
"NMVB2_Meso_Scan1_Core[1,1,D]_[12524,40589]",All,0.64,3399,11,6,41,3670,3856,7611
"NMVB2_Meso_Scan1_Core[1,1,E]_[13428,40512]",All,0.64,517,2,109,97,1226,884,3299
"NMVB2_Meso_Scan1_Core[1,1,F]_[14361,40563]",All,0.64,1477,14,70,87,1103,1616,4309
"NMVB2_Meso_Scan1_Core[1,1,G]_[15231,40552]",All,0.64,194,27,27,205,426,408,1604
"NMVB2_Meso_Scan1_Core[1,1,H]_[16508,40649]",All,0.64,376,81,125,2,251,565,929
"NMVB2_Meso_Scan1_Core[1,1,I]_[17384,40664]",All,0.64,3157,27,3,751,611,1323,5237
"NMVB2_Meso_Scan1_Core[1,1,J]_[18295,40702]",All,0.64,1563,19,20,234,220,1642,2994
"NMVB2_Meso_Scan1_Core[1,1,K]_[19151,40758]",All,0.64,1691,8,27,291,272,1485,2977
"NMVB2_Meso_Scan1_Core[1,1,L]_[20066,40817]",All,0.64,23,0,30,205,216,1453,4526
"NMVB2_Meso_Scan1_Core[1,10,A]_[8929,49016]",All,0.36,12578,392,14,2112,923,1465,13292
