Annotation2,Tissue Category,Tissue Area (mm2),NF2+,CD11C+,CD56+,LAG3+,BAP1+,MTAP+,Total Cells
"Meso_TMA4_Scan1_Core[1,1,A]_[8291,37596]",All,0.36,9006,42,89,8,4791,3654,9529
"Meso_TMA4_Scan1_Core[1,1,B]_[9644,37471]",All,0.36,3540,44,22,25,2376,2518,4671
"Meso_TMA4_Scan1_Core[1,1,C]_[10859,37400]",All,0.36,4510,92,453,11,2020,2301,12752
"Meso_TMA4_Scan1_Core[1,1,D]_[12336,37114]",All,0.36,4763,183,44,33,820,1609,8423
"Meso_TMA4_Scan1_Core[1,1,E]_[13671,37090]",All,0.36,3679,333,11,36,595,784,10605
"Meso_TMA4_Scan1_Core[1,1,F]_[14912,36384]",All,0.36,5197,283,547,28,611,3254,6936
"Meso_TMA4_Scan1_Core[1,1,G]_[16292,36923]",All,0.36,6903,283,770,19,472,1078,10691
"Meso_TMA4_Scan1_Core[1,1,I]_[18984,36899]",All,0.36,2851,320,225,83,650,1759,10084
"Meso_TMA4_Scan1_Core[1,1,J]_[20414,36709]",All,0.36,4677,717,114,31,597,2056,10924
"Meso_TMA4_Scan1_Core[1,1,K]_[21748,36661]",All,0.36,7970,967,1256,19,609,3026,12175
"Meso_TMA4_Scan1_Core[1,10,A]_[9239,49070]",All,0.36,442,119,220,3,495,1206,4227
"Meso_TMA4_Scan1_Core[1,10,B]_[10548,48867]",All,0.36,2001,195,83,1089,397,2332,6108
"Meso_TMA4_Scan1_Core[1,10,C]_[11913,48736]",All,0.36,1929,36,75,1656,414,3073,6336
"Meso_TMA4_Scan1_Core[1,10,F]_[15863,48217]",All,0.36,2215,78,133,6,653,3329,6706
"Meso_TMA4_Scan1_Core[1,10,G]_[17221,48026]",All,0.36,561,42,306,14,781,2234,6066
"Meso_TMA4_Scan1_Core[1,10,H]_[18531,47931]",All,0.36,1125,106,47,6,408,1053,1289
"Meso_TMA4_Scan1_Core[1,10,I]_[19865,47788]",All,0.36,1942,1164,28,11,389,2234,3329
"Meso_TMA4_Scan1_Core[1,10,J]_[21224,47693]",All,0.36,1457,898,61,36,228,1470,1804
"Meso_TMA4_Scan1_Core[1,10,K]_[22582,47645]",All,0.36,634,139,231,17,714,1364,4577
"Meso_TMA4_Scan1_Core[1,11,A]_[9358,50218]",All,0.36,550,97,231,33,636,1317,5055
"Meso_TMA4_Scan1_Core[1,11,B]_[10692,50099]",All,0.36,1792,31,111,228,270,1806,5713
"Meso_TMA4_Scan1_Core[1,11,C]_[12027,49956]",All,0.36,1028,111,58,161,339,2068,5483
"Meso_TMA4_Scan1_Core[1,11,D]_[13337,49789]",All,0.36,436,145,114,131,345,2140,6233
"Meso_TMA4_Scan1_Core[1,11,E]_[14695,49636]",All,0.36,1370,89,303,264,1437,2282,9348
"Meso_TMA4_Scan1_Core[1,11,F]_[15982,49432]",All,0.36,317,100,970,395,2020,3157,9457
"Meso_TMA4_Scan1_Core[1,11,G]_[17268,49289]",All,0.36,1114,208,1384,584,2017,2929,12091
"Meso_TMA4_Scan1_Core[1,11,H]_[18626,49074]",All,0.36,361,186,100,6,589,1217,1842
"Meso_TMA4_Scan1_Core[1,11,I]_[19961,48908]",All,0.36,3062,450,217,42,414,1906,5222
"Meso_TMA4_Scan1_Core[1,11,K]_[22629,48812]",All,0.36,325,53,97,14,489,642,2437
"Meso_TMA4_Scan1_Core[1,12,A]_[9501,51529]",All,0.36,350,69,164,3,381,1095,3810
"Meso_TMA4_Scan1_Core[1,12,B]_[10812,51362]",All,0.36,962,581,42,0,434,1606,3190
"Meso_TMA4_Scan1_Core[1,12,D]_[13469,51142]",All,0.36,964,306,103,0,353,1331,2079
"Meso_TMA4_Scan1_Core[1,12,E]_[14743,50957]",All,0.36,6717,7559,4288,0,1806,2359,8276
"Meso_TMA4_Scan1_Core[1,12,F]_[16053,50766]",All,0.36,5038,998,303,22,1542,2748,7353
"Meso_TMA4_Scan1_Core[1,12,G]_[17388,50504]",All,0.36,3271,4177,786,19,1395,2557,8442
"Meso_TMA4_Scan1_Core[1,12,H]_[18650,50218]",All,0.36,792,903,300,122,503,2229,5008
"Meso_TMA4_Scan1_Core[1,12,I]_[20080,50051]",All,0.36,1200,686,281,67,436,2326,4485
"Meso_TMA4_Scan1_Core[1,12,K]_[22748,50004]",All,0.36,167,114,125,31,625,1028,4830
"Meso_TMA4_Scan1_Core[1,13,A]_[9620,52768]",All,0.36,614,89,50,0,383,989,5763
"Meso_TMA4_Scan1_Core[1,13,B]_[10907,52648]",All,0.36,2807,208,72,0,375,467,4113
"Meso_TMA4_Scan1_Core[1,13,C]_[12199,52609]",All,0.36,497,69,44,0,372,745,912
"Meso_TMA4_Scan1_Core[1,13,D]_[13504,52242]",All,0.36,434,370,192,0,456,786,1106
"Meso_TMA4_Scan1_Core[1,13,E]_[14886,52172]",All,0.36,536,895,36,0,220,1234,2782
"Meso_TMA4_Scan1_Core[1,13,F]_[16196,52029]",All,0.36,472,845,6,8,181,1184,3351
"Meso_TMA4_Scan1_Core[1,13,G]_[17442,52037]",All,0.36,322,1392,136,8,728,1012,5372
"Meso_TMA4_Scan1_Core[1,13,H]_[18722,51433]",All,0.36,53,5530,170,6,158,1523,7892
"Meso_TMA4_Scan1_Core[1,13,I]_[20104,51862]",All,0.36,6,1745,69,3,186,945,4694
"Meso_TMA4_Scan1_Core[1,13,J]_[21557,51338]",All,0.36,3,809,50,3,125,436,6305
"Meso_TMA4_Scan1_Core[1,13,K]_[22869,51345]",All,0.36,400,19,183,14,489,1267,3643
"Meso_TMA4_Scan1_Core[1,14,A]_[9739,54006]",All,0.36,1012,44,172,0,453,1120,5085
"Meso_TMA4_Scan1_Core[1,14,D]_[13599,53530]",All,0.36,1284,545,72,0,275,1084,2504
"Meso_TMA4_Scan1_Core[1,14,F]_[16315,53339]",All,0.36,1078,945,133,25,422,1070,3451
"Meso_TMA4_Scan1_Core[1,14,G]_[17554,53316]",All,0.36,1756,1492,356,19,434,1159,3604
"Meso_TMA4_Scan1_Core[1,14,H]_[18883,53209]",All,0.36,122,3968,53,0,111,1120,7828
"Meso_TMA4_Scan1_Core[1,14,I]_[20318,53054]",All,0.36,11,4649,17,0,42,347,8398
"Meso_TMA4_Scan1_Core[1,14,J]_[21700,52815]",All,0.36,31,4263,33,0,53,617,7859
"Meso_TMA4_Scan1_Core[1,14,K]_[22971,52655]",All,0.36,1267,17,164,8,753,1337,3960
"Meso_TMA4_Scan1_Core[1,15,A]_[9858,55150]",All,0.36,597,8,186,3,472,1173,3921
