,CD20,CD4,CD8,FOXP3,CD68,CD11c,CD56,CK
BAP1,0.03875968992248062,-0.12501761804087386,-0.4952783650458069,-0.09753347427766032,0.1675828047921071,-0.4200140944326991,0.2744186046511628,0.1981677237491191
NF2,0.21085271317829457,0.12515856236786468,-0.21789992952783652,0.16546863988724453,0.13897110641296687,0.12318534178999295,0.5887244538407329,0.10782241014799154
MTAP,0.07188160676532769,-0.129245947850599,0.031148696264975333,0.020155038759689922,-0.0861169837914024,0.11923890063424947,0.5647639182522903,0.023678646934460888
LAG3,0.07878787878787878,0.23185341789992953,0.027061310782241013,-0.00507399577167019,0.3430584918957012,0.1634954193093728,0.4813248766737139,0.1276955602536998
