,CD20,CD4,CD8,FOXP3,CD68,CD11c,CD56,CK
BAP1,0.09980237154150198,-0.011857707509881422,-0.41304347826086957,-0.3102766798418972,-0.24308300395256918,-0.5217391304347826,-0.10573122529644269,-0.09683794466403162
NF2,0.2717391304347826,-0.15118577075098813,-0.4743083003952569,-0.06324110671936758,-0.001976284584980237,-0.14130434782608695,0.37549407114624506,0.3092885375494071
MTAP,-0.0691699604743083,-0.1650197628458498,-0.3725296442687747,-0.37351778656126483,-0.3359683794466403,-0.4683794466403162,0.22727272727272727,-0.10770750988142293
LAG3,-0.08893280632411067,-0.191699604743083,-0.16403162055335968,-0.13537549407114624,0.1274703557312253,0.017786561264822136,0.12944664031620554,-0.3231225296442688
