,CD20,CD4,CD8,FOXP3,CD68,CD11c,CD56,CK
BAP1,-0.007518796992481203,-0.06315789473684211,-0.3368421052631579,-0.24210526315789474,-0.15789473684210525,-0.45263157894736844,-0.23458646616541354,-0.19548872180451127
NF2,0.15639097744360902,-0.23759398496240602,-0.36541353383458647,-0.07969924812030076,0.07368421052631578,-0.0481203007518797,0.4932330827067669,0.11428571428571428
MTAP,-0.29774436090225564,-0.26165413533834586,-0.362406015037594,-0.2571428571428571,-0.23458646616541354,-0.40150375939849625,-0.021052631578947368,-0.0887218045112782
LAG3,-0.09924812030075188,-0.1548872180451128,-0.21954887218045113,-0.09473684210526316,0.17894736842105263,0.016541353383458645,0.14586466165413534,-0.20150375939849624
