,CD20,CD4,CD8,FOXP3,CD68,CD11c,CD56,CK
BAP1,0.014285714285714285,0.025,-0.20714285714285716,-0.24642857142857144,-0.14285714285714285,-0.4607142857142857,-0.12142857142857143,-0.18928571428571428
NF2,0.35714285714285715,-0.20714285714285716,-0.43214285714285716,-0.10357142857142858,0.08928571428571429,-0.07142857142857142,0.6428571428571429,0.12857142857142856
MTAP,-0.36428571428571427,-0.5785714285714286,-0.5142857142857142,-0.42142857142857143,-0.09642857142857143,-0.5964285714285714,0.03214285714285714,-0.03214285714285714
LAG3,-0.175,-0.10714285714285714,-0.18571428571428572,0.19642857142857142,0.37142857142857144,0.18214285714285713,0.3964285714285714,-0.07857142857142857
