,CD20,CD4,CD8,FOXP3,CD68,CD11c,CD56,CK
BAP1,0.25506329113924053,0.10292112950340798,-0.49556962025316453,0.17862706913339824,0.2728334956183057,-0.4004868549172347,0.42027750730282376,0.2665530671859786
NF2,0.28410418695228823,0.27327166504381695,-0.2672590068159688,0.3238315481986368,0.37246835443037973,-0.03296007789678676,0.6126582278481013,0.14062804284323271
MTAP,0.03534566699123661,-0.015068159688412852,0.2606864654333009,0.005842259006815969,-0.01397273612463486,0.3375121713729309,0.5607351509250244,-0.07960077896786757
LAG3,0.0942794547224927,0.31733203505355406,-0.010443037974683544,0.13726874391431354,0.3575462512171373,0.12203018500486855,0.5402142161635832,-0.004746835443037975
