"","pairs","pvalues","padjs","diffs"
"1","CD4~CK","5.49e-01","0.549",0.22608901605061
"2","CD8~CK","4.64e-02","0.0928",-0.629557391649695
"3","CD68~CK","3.60e-02","0.0928",0.75557129213217
"4","CD20~CK",NA,NA,0.75557129213217
"5","FOXP3~CK","5.00e-01","0.549",-0.198902784578
