"","pairs","pvalues","padjs","diffs"
"1","CD4~CK","8.37e-02","0.1116",-0.24801255263359
"2","CD8~CK","1.07e-04","0.000428",-0.739391855624685
"3","CD68~CK","6.10e-01","0.61",0.11904906048389
"4","CD20~CK",NA,NA,0.11904906048389
"5","FOXP3~CK","5.71e-02","0.1116",-0.61733937035889
