"","CD4","CD8","CK","CD20","FOXP3","CD68","CD11c","CD56"
"Grade.High","0.3488","0.108","0.108","0.674285714285714","0.28","0.706","0.28","0.658666666666667"
"Grade.Low/Median",NA,NA,NA,NA,NA,NA,NA,NA
"smoking.Smoker","0.897","0.524","0.3536","0.897","0.669333333333333","0.572","0.572","0.6416"
"smoking.Non-smoker","0.828571428571429","0.816","0.816","0.828571428571429","0.828571428571429","0.828571428571429","0.847","0.828571428571429"
"AsbestosExposure.Yes","0.05808","0.322666666666667","0.322666666666667","0.735","0.6272","0.735","0.735","0.6272"
"AsbestosExposure.No",NA,NA,NA,NA,NA,NA,NA,NA
"agesplit.Young","0.721","0.38","0.38","0.721","0.721","0.721","0.721","0.721"
"agesplit.Old","0.815","0.004168","0.0376","0.815","0.72","0.14192","0.02908","0.0502"
"Race.White","0.8","0.003112","0.0204","0.8","0.6704","0.22","0.1","0.8"
"Race.not White",NA,NA,NA,NA,NA,NA,NA,NA
"Gender.Male","0.462","0.02984","0.1884","0.830857142857143","0.830857142857143","0.964","0.830857142857143","0.453333333333333"
"Gender.Female","0.438666666666667","0.254","0.0376","0.75","0.699428571428571","0.438666666666667","0.254","0.136"
