"","vars","hazards_conf","pvalues","casetypes"
"1","log(CD4)(37)","1.19e+00 (9.36e-01, 1.51e+00)","1.55e-01","All"
"2","log(CD8)(37)","9.74e-01 (7.72e-01, 1.23e+00)","8.26e-01","All"
"3","log(CK)(37)","8.64e-01 (6.61e-01, 1.13e+00)","2.83e-01","All"
"4","log(CD20)(37)","9.89e-01 (9.71e-01, 1.01e+00)","2.48e-01","All"
"5","log(FOXP3)(37)","1.01e+00 (9.80e-01, 1.03e+00)","6.70e-01","All"
"6","log(CD68)(37)","9.64e-01 (7.89e-01, 1.18e+00)","7.20e-01","All"
"7","log(CD11c)(37)","9.95e-01 (8.06e-01, 1.23e+00)","9.65e-01","All"
"8","log(CD56)(37)","1.12e+00 (8.27e-01, 1.53e+00)","4.54e-01","All"
"9","log(CD4)(31)","1.15e+00 (8.97e-01, 1.48e+00)","2.68e-01","Pleural"
"10","log(CD8)(31)","9.38e-01 (7.33e-01, 1.20e+00)","6.09e-01","Pleural"
"11","log(CK)(31)","9.07e-01 (6.86e-01, 1.20e+00)","4.95e-01","Pleural"
"12","log(CD20)(31)","9.90e-01 (9.70e-01, 1.01e+00)","3.05e-01","Pleural"
"13","log(FOXP3)(31)","1.00e+00 (9.75e-01, 1.03e+00)","7.83e-01","Pleural"
"14","log(CD68)(31)","1.10e+00 (8.44e-01, 1.42e+00)","4.94e-01","Pleural"
"15","log(CD11c)(31)","9.23e-01 (7.27e-01, 1.17e+00)","5.09e-01","Pleural"
"16","log(CD56)(31)","1.07e+00 (7.92e-01, 1.45e+00)","6.51e-01","Pleural"
