"","vars","hazards_conf","pvalues","casetypes"
"1","log(CD4)(14)","9.60e-01 (9.04e-01, 1.02e+00)","1.80e-01","All"
"2","log(CD8)(14)","8.47e-01 (5.75e-01, 1.25e+00)","4.01e-01","All"
"3","log(CK)(14)","1.23e+00 (7.40e-01, 2.03e+00)","4.30e-01","All"
"4","log(CD20)(14)","9.94e-01 (9.66e-01, 1.02e+00)","6.83e-01","All"
"5","log(FOXP3)(14)","1.03e+00 (9.73e-01, 1.09e+00)","3.16e-01","All"
"6","log(CD68)(14)","1.34e+00 (9.82e-01, 1.82e+00)","6.52e-02","All"
"7","log(CD11c)(14)","8.46e-01 (4.60e-01, 1.55e+00)","5.89e-01","All"
"8","log(CD56)(14)","9.87e-01 (5.05e-01, 1.93e+00)","9.70e-01","All"
"9","log(CD4)(13)","9.61e-01 (9.05e-01, 1.02e+00)","1.91e-01","Pleural"
"10","log(CD8)(13)","8.70e-01 (5.77e-01, 1.31e+00)","5.06e-01","Pleural"
"11","log(CK)(13)","1.19e+00 (7.03e-01, 2.00e+00)","5.24e-01","Pleural"
"12","log(CD20)(13)","9.92e-01 (9.63e-01, 1.02e+00)","5.74e-01","Pleural"
"13","log(FOXP3)(13)","1.03e+00 (9.71e-01, 1.09e+00)","3.33e-01","Pleural"
"14","log(CD68)(13)","1.33e+00 (9.68e-01, 1.82e+00)","7.88e-02","Pleural"
"15","log(CD11c)(13)","8.81e-01 (4.67e-01, 1.66e+00)","6.95e-01","Pleural"
"16","log(CD56)(13)","1.01e+00 (5.07e-01, 1.99e+00)","9.87e-01","Pleural"
