"","vars","hazards_conf","pvalues","casetypes"
"1","CD4(37)","1.60e+01 (3.51e-01, 7.27e+02)","1.55e-01","All"
"2","CD8(37)","7.35e-01 (1.59e-01, 3.40e+00)","6.93e-01","All"
"3","CK(37)","3.65e-01 (8.64e-02, 1.54e+00)","1.70e-01","All"
"4","CD20(37)","1.00e+00 (1.86e-06, 5.42e+05)","1.00e+00","All"
"5","FOXP3(37)","1.53e-03 (2.41e-09, 9.78e+02)","3.42e-01","All"
"6","CD68(37)","2.76e-01 (2.23e-02, 3.42e+00)","3.16e-01","All"
"7","CD11c(37)","8.83e-01 (5.61e-02, 1.39e+01)","9.30e-01","All"
"8","CD56(37)","1.44e+02 (8.00e-03, 2.60e+06)","3.20e-01","All"
"9","CD4(31)","8.07e+00 (1.37e-01, 4.77e+02)","3.16e-01","Pleural"
"10","CD8(31)","5.49e-01 (1.10e-01, 2.73e+00)","4.63e-01","Pleural"
"11","CK(31)","3.36e-01 (7.09e-02, 1.59e+00)","1.69e-01","Pleural"
"12","CD20(31)","1.79e-01 (1.63e-07, 1.97e+05)","8.09e-01","Pleural"
"13","FOXP3(31)","8.37e-05 (2.30e-11, 3.05e+02)","2.23e-01","Pleural"
"14","CD68(31)","8.22e+00 (4.44e-02, 1.52e+03)","4.29e-01","Pleural"
"15","CD11c(31)","5.27e-01 (2.93e-02, 9.49e+00)","6.64e-01","Pleural"
"16","CD56(31)","1.52e+01 (4.56e-04, 5.09e+05)","6.08e-01","Pleural"
