"","vars","hazards_conf","pvalues","casetypes"
"1","CD4(14)","1.92e+00 (2.25e-01, 1.63e+01)","5.52e-01","All"
"2","CD8(14)","6.05e-01 (3.07e-01, 1.19e+00)","1.46e-01","All"
"3","CK(14)","1.27e+00 (7.26e-01, 2.22e+00)","4.02e-01","All"
"4","CD20(14)","7.70e-02 (7.29e-06, 8.15e+02)","5.88e-01","All"
"5","FOXP3(14)","3.37e+31 (1.93e-34, 5.89e+96)","3.44e-01","All"
"6","CD68(14)","2.44e+00 (3.06e-01, 1.94e+01)","4.01e-01","All"
"7","CD11c(14)","7.08e-01 (3.59e-01, 1.40e+00)","3.18e-01","All"
"8","CD56(14)","5.10e-01 (1.09e-02, 2.39e+01)","7.32e-01","All"
"9","CD4(13)","1.54e+00 (1.63e-01, 1.46e+01)","7.06e-01","Pleural"
"10","CD8(13)","6.29e-01 (3.11e-01, 1.27e+00)","1.97e-01","Pleural"
"11","CK(13)","1.30e+00 (7.26e-01, 2.32e+00)","3.80e-01","Pleural"
"12","CD20(13)","9.21e-02 (6.81e-06, 1.25e+03)","6.23e-01","Pleural"
"13","FOXP3(13)","3.32e+34 (4.74e-34, 2.32e+102)","3.19e-01","Pleural"
"14","CD68(13)","2.48e+00 (2.92e-01, 2.11e+01)","4.05e-01","Pleural"
"15","CD11c(13)","7.61e-01 (3.72e-01, 1.56e+00)","4.56e-01","Pleural"
"16","CD56(13)","2.72e-01 (4.23e-03, 1.75e+01)","5.40e-01","Pleural"
