"","vars","hazards_conf","pvalues","casetypes"
"1","CD4(14)","6.52e+02 (1.87e-05, 2.28e+10)","4.65e-01","All"
"2","CD8(14)","1.54e-01 (2.07e-02, 1.14e+00)","6.75e-02","All"
"3","CK(14)","3.06e+00 (1.91e-01, 4.91e+01)","4.30e-01","All"
"4","CD20(14)","1.34e-03 (7.29e-17, 2.48e+10)","6.71e-01","All"
"5","FOXP3(14)","8.73e+19 (1.67e-15, 4.56e+54)","2.60e-01","All"
"6","CD68(14)","1.25e+01 (1.04e-02, 1.50e+04)","4.85e-01","All"
"7","CD11c(14)","2.96e+00 (3.18e-03, 2.77e+03)","7.55e-01","All"
"8","CD56(14)","4.75e+01 (3.69e-05, 6.13e+07)","5.91e-01","All"
"9","CD4(13)","7.38e+01 (6.81e-07, 7.99e+09)","6.49e-01","Pleural"
"10","CD8(13)","1.76e-01 (2.18e-02, 1.42e+00)","1.03e-01","Pleural"
"11","CK(13)","3.04e+00 (1.72e-01, 5.35e+01)","4.48e-01","Pleural"
"12","CD20(13)","4.54e-03 (1.60e-16, 1.29e+11)","7.33e-01","Pleural"
"13","FOXP3(13)","1.56e+23 (1.17e-13, 2.09e+59)","2.08e-01","Pleural"
"14","CD68(13)","1.34e+01 (8.76e-03, 2.06e+04)","4.88e-01","Pleural"
"15","CD11c(13)","5.25e+00 (4.67e-03, 5.90e+03)","6.44e-01","Pleural"
"16","CD56(13)","1.33e+02 (6.93e-05, 2.54e+08)","5.08e-01","Pleural"
