"","vars","hazards_conf","pvalues","casetypes"
"1","CD4(37)","1.09e+00 (6.76e-01, 1.76e+00)","7.23e-01","All"
"2","CD8(37)","9.86e-01 (6.21e-01, 1.57e+00)","9.53e-01","All"
"3","CK(37)","7.38e-01 (5.07e-01, 1.08e+00)","1.15e-01","All"
"4","CD20(37)","7.84e-01 (9.00e-03, 6.83e+01)","9.15e-01","All"
"5","FOXP3(37)","6.20e-08 (4.35e-42, 8.85e+26)","6.79e-01","All"
"6","CD68(37)","7.04e-01 (3.82e-01, 1.30e+00)","2.61e-01","All"
"7","CD11c(37)","1.05e+00 (6.58e-01, 1.67e+00)","8.40e-01","All"
"8","CD56(37)","6.04e-01 (2.38e-02, 1.53e+01)","7.60e-01","All"
"9","CD4(31)","1.04e+00 (6.37e-01, 1.69e+00)","8.80e-01","Pleural"
"10","CD8(31)","9.23e-01 (5.74e-01, 1.48e+00)","7.39e-01","Pleural"
"11","CK(31)","7.14e-01 (4.64e-01, 1.10e+00)","1.24e-01","Pleural"
"12","CD20(31)","3.11e-01 (2.63e-03, 3.67e+01)","6.31e-01","Pleural"
"13","FOXP3(31)","2.82e-12 (9.48e-48, 8.40e+23)","5.23e-01","Pleural"
"14","CD68(31)","1.31e+00 (3.60e-01, 4.75e+00)","6.84e-01","Pleural"
"15","CD11c(31)","9.80e-01 (6.14e-01, 1.56e+00)","9.33e-01","Pleural"
"16","CD56(31)","1.99e-01 (4.72e-03, 8.39e+00)","3.98e-01","Pleural"
