,CD20,CD4,CD8,FOXP3,CD68,CD11c,CD56,CK,Unidentified
epithelioid ~ biphasic,4.35E-02,3.71E-01,5.26E-02,1.63E-01,3.66E-01,4.10E-01,1.61E-01,4.91E-01,1.77E-02
epithelioid ~ sarcomatoid,9.46E-02,3.65E-02,4.75E-01,2.56E-01,2.82E-01,6.77E-01,3.23E-01,1.42E-03,4.16E-03
biphasic ~ sarcomatoid,4.16E-01,4.04E-02,7.65E-02,4.47E-01,3.37E-01,6.37E-01,1.08E-01,1.28E-03,5.99E-02
