MVB,CN1,CN2,CN3,CN4,CN5,CN6
4001,0.04779607010090282,,,0.5460258452823509,0.006107275624004248,0.40007080899274206
4002,0.3445392788712768,0.005922313185856122,0.0013934854554955582,0.033617836613830346,0.4445218603030831,0.1700052255704581
4003,0.3843875608208166,0.008885127988153163,0.0239052253014597,0.03469430928707425,0.20330019039559974,0.3448275862068966
4004,0.12919896640826872,0.03714470284237726,0.6450258397932817,0.022286821705426358,0.007428940568475452,0.15891472868217055
4005,0.10082805650267901,0.00024354603019970775,0.8677545056015586,,0.01631758402338042,0.014856307842182172
4006,0.11295681063122924,0.00018456995201181247,0.012919896640826873,,0.8536360280546327,0.020302694721299374
4007,0.24733510992671554,,0.11392405063291139,0.18004663557628248,0.0907728181212525,0.3679213857428381
4008,,,0.8191647233411067,0.14691541233835065,,0.03391986432054272
4009,0.35978218591987554,0.004278490859587709,0.3733955659276546,0.0011668611435239206,0.13146635550369506,0.12991054064566315
4013,0.14806664570889658,0.02734988997170701,0.11191449229801949,0.0015718327569946558,0.7092109399559887,0.001886199308393587
4014,0.007217557814111062,0.002209456473707468,0.965974370304905,0.0004418912947414936,0.02371483281779349,0.0004418912947414936
4015,0.09668932251699189,,0.13264634948476212,0.274720456040342,0.00526200394650296,0.490681868011401
4016,0.04118028534370947,0.2198443579766537,0.03745136186770428,0.42461089494163423,0.01248378728923476,0.26442931258106356
4017,0.2428619415518979,0.03426268055089016,0.3174336580450118,0.001007725898555593,0.39939536446086665,0.0050386294927779645
4018,0.3908778813143698,0.0029426189308484553,0.2898479646885728,0.000980872976949485,0.3128984796468857,0.0024521824423737125
4019,0.17728365384615385,0.00040064102564102563,,0.005208333333333333,0.7746394230769231,0.04246794871794872
4020,0.3764750666159117,0.08222306813856109,0.012942519984773505,0.01268874508311128,0.0902169775409212,0.4254536226367212
4021,0.10109698329593618,,0.5815258040388931,0.02156569434056345,0.06083271004736973,0.2349788082772376
4023,0.2818401937046005,0.0012106537530266344,0.005811138014527845,0.14479418886198547,0.19854721549636803,0.3677966101694915
4024,0.3314505196565748,,0.002033438770899232,0.010393131495707185,0.5675553547220967,0.08856755535472209
