"","vars","hazards_conf","pvalues","casetypes"
"1","CD4.T.cells...CD4.T.cells(90)","1.01e+00 (9.87e-01, 1.04e+00)","3.76e-01","All"
"2","CD4.T.cells...CD8.T.cells(90)","1.02e+00 (9.91e-01, 1.05e+00)","1.86e-01","All"
"3","CD4.T.cells...Macrophages(90)","1.03e+00 (9.95e-01, 1.06e+00)","1.06e-01","All"
"4","CD4.T.cells...Tumor.cells(90)","1.01e+00 (9.82e-01, 1.03e+00)","6.53e-01","All"
"5","CD4.T.cells...Treg.cells.(90)","9.95e-01 (9.73e-01, 1.02e+00)","6.28e-01","All"
"6","CD8.T.cells...CD8.T.cells(90)","1.01e+00 (9.67e-01, 1.05e+00)","7.04e-01","All"
"7","CD8.T.cells...Macrophages(90)","1.00e+00 (9.72e-01, 1.03e+00)","8.56e-01","All"
"8","CD8.T.cells...Tumor.cells(90)","9.92e-01 (9.66e-01, 1.02e+00)","5.69e-01","All"
"9","CD8.T.cells...Treg.cells.(90)","9.88e-01 (9.67e-01, 1.01e+00)","2.54e-01","All"
"10","Macrophages...Macrophages(90)","9.99e-01 (9.65e-01, 1.03e+00)","9.32e-01","All"
"11","Macrophages...Tumor.cells(90)","9.92e-01 (9.65e-01, 1.02e+00)","5.50e-01","All"
"12","Tumor.cells...Tumor.cells(90)","1.00e+00 (9.49e-01, 1.06e+00)","9.11e-01","All"
"13","Treg.cells....Macrophages(90)","1.00e+00 (9.79e-01, 1.02e+00)","9.79e-01","All"
"14","Treg.cells....Tumor.cells(90)","1.01e+00 (9.93e-01, 1.03e+00)","2.04e-01","All"
"15","Treg.cells....Treg.cells.(90)","1.02e+00 (9.85e-01, 1.05e+00)","3.31e-01","All"
"16","B.cells...CD4.T.cells(90)","9.62e-01 (9.28e-01, 9.98e-01)","3.83e-02","All"
"17","B.cells...CD8.T.cells(90)","9.64e-01 (9.32e-01, 9.97e-01)","3.48e-02","All"
"18","B.cells...Macrophages(90)","9.91e-01 (9.56e-01, 1.03e+00)","6.33e-01","All"
"19","B.cells...Tumor.cells(90)","9.98e-01 (9.72e-01, 1.03e+00)","8.94e-01","All"
"20","B.cells...Treg.cells.(90)","1.02e+00 (9.75e-01, 1.07e+00)","3.54e-01","All"
"21","B.cells...B.cells(90)","9.63e-01 (9.27e-01, 1.00e+00)","5.38e-02","All"
"22","CD4.T.cells...CD4.T.cells(74)","1.01e+00 (9.85e-01, 1.04e+00)","4.01e-01","Pleural"
"23","CD4.T.cells...CD8.T.cells(74)","1.02e+00 (9.82e-01, 1.06e+00)","3.35e-01","Pleural"
"24","CD4.T.cells...Macrophages(74)","1.01e+00 (9.84e-01, 1.04e+00)","3.92e-01","Pleural"
"25","CD4.T.cells...Tumor.cells(74)","1.01e+00 (9.81e-01, 1.04e+00)","5.28e-01","Pleural"
"26","CD4.T.cells...Treg.cells.(74)","9.97e-01 (9.75e-01, 1.02e+00)","8.27e-01","Pleural"
"27","CD8.T.cells...CD8.T.cells(74)","1.03e+00 (9.76e-01, 1.08e+00)","3.13e-01","Pleural"
"28","CD8.T.cells...Macrophages(74)","9.99e-01 (9.61e-01, 1.04e+00)","9.52e-01","Pleural"
"29","CD8.T.cells...Tumor.cells(74)","9.91e-01 (9.65e-01, 1.02e+00)","5.07e-01","Pleural"
